lat,lon,name,amenity_type,address_city
13.0283513,80.2091487,Apple Kids International Pre School,school,Chennai
13.0482979,80.2464292,Satyamurthi high school,school,Chennai
13.0537478,80.2591932,MEASI Academy of Architecture,college,Chennai
13.0501982,80.2402338,Venkatasubba Rao matrix Hr Secy School,school,Chennai
13.0719886,80.1894086,LBEAAR Matric Hr. Sec. School,school,Chennai
13.1355943,80.2515179,FES Matriculation Higher Secoundary School,school,Chennai
13.1031947,80.2093113,St. John Williams Matriculation School,school,Chennai
13.1084682,80.208451,Singaram Pillai Girls High School,school,Chennai
13.1333596,80.2334549,St Anne's Arts And Science College,college,Chennai
13.132247,80.2361716,St Anne's School,school,Chennai
13.1320397,80.2388481,St Anne's Matriculation School,school,Chennai
13.1416026,80.2366698,St Anns Metric Secondary School,school,Chennai
13.0034528,80.2677285,Olcott Memorial HSS,school,Chennai
13.0885001,80.2777394,SSV Hr Sec School,school,Chennai
13.0883355,80.2772191,AB Parekh Hr Sec School,school,Chennai
13.0752066,80.272253,Alamelu Mangai thayarammal Montessori School,kindergarten,Chennai
13.0756063,80.2720867,Dhanakoti Middle School,school,Chennai
13.0755096,80.2722477,Kalyanam Girls High School,school,Chennai
13.0763065,80.2719607,Kalyanam Girls Higher Secondary School,school,Chennai
13.075008,80.2732159,Chintadripet Boys Higher Secondary School,school,Chennai
13.0736154,80.2678488,Chintadripet Middle School,school,Chennai
13.074522,80.2694716,Rao Bahadur Calavala Cunnan Chetty Middle School,school,Chennai
13.089879,80.2862748,NIIT,college,Chennai
13.0784245,80.282892,KYM,school,Chennai
13.0502159,80.2699958,Gill Adarsh Matriculation Higher Secondary School,school,Chennai
13.0557408,80.2719053,மணிஸ் நர்சரி மற்றும் பிரைமரி பள்ளி,school,Chennai
13.0264807,80.2772672,Gigglewhiz,kindergarten,Chennai
13.0614063,80.279333,ground,university,chennai
13.0950602,80.2892677,C.S.I. Anderson Rajagopaul Girls Higher Secondary School,school,Chennai
12.8956004,80.1214822,GKM College of Engineering,college,Chennai
12.8684808,80.0619303,Govt School,school,Chennai
12.8682533,80.0617444,4th Cross Street,school,Chennai
12.8602215,80.1327545,Tagore Engineering Clg,college,Chennai
12.9218101,80.0925259,SKB Vidhyashram Play School - எஸ்கேபி வித்யாஸ்ரம் பிளே ஸ்கூல்,school,Chennai
13.1876324,80.3157985,Nursery / Primary School,kindergarten,Chennai
