lat,lon,name,category,address
12.9713782,80.1827667,Yezhoor Amman Temple,Hindu Temple,", Chennai"
13.0684992,80.2605802,DUGAR GROUP OF COMPANY,Attraction,"Rukmani Lakshmipathi Road, Chennai"
13.0337069,80.2122522,BHARAT SCANS,Attraction,"Jawaharlal Nehru Road (100 Feet Road), Chennai"
13.0754203,80.1617538,MY ROOM,Viewpoint,", Chennai"
13.0662111,80.2311828,Sangeetha hostel,Viewpoint,", Chennai"
13.0667911,80.2228296,Amman Temple,Hindu Temple,"Anna High Road, Chennai"
13.0636186,80.2272506,Amman Temple,Hindu Temple,"Abith Nagar, Thiruvalluvar Puram, Chennai"
13.0227505,80.1853115,karumari amman temple,Hindu Temple,", Chennai"
13.0229114,80.1850132,s.sriram,Attraction,"fourth cross street, Chennai"
13.0422706,80.2509486,Pothiamman Koil,Hindu Temple,", Chennai"
12.9827747,80.2347321,Arulmighu Shri Mahamari Bhavani Amman Aalayam,Hindu Temple,"Thiruvallur Street, Chennai"
12.9823344,80.2351107,Arulmigu Shri Valampuri Selva Vinayagar Aalayam,Hindu Temple,"MGR Street, Chennai"
12.9632799,80.2324921,Arulmigu Shri Kanniamman Aalayam,Hindu Temple,"Nethaji Nagar Main Road, Chennai"
13.0254529,80.183303,Home Finders Estate,Attraction,", Chennai"
13.0329942,80.2398019,Holy Cross Church - Catholic,Church,"Doctor Shivaji Ganesan Road, Chennai"
13.0936757,80.1040183,Varu Lingam - Astalingam (Vayulingeswarar),Hindu Temple,", Chennai"
13.0817957,80.1163984,Kubera Lingam - Astalingam(Keberalingeswarar),Hindu Temple,", Chennai"
13.0871828,80.1252658,Esanya Lingam - Astalingam (Esanyalingeswarar),Hindu Temple,", Chennai"
13.0551803,80.1144732,Yema Lingam - Astalingam,Hindu Temple,", Chennai"
13.0553473,80.1400532,Agni Lingam - Astalingam(Noombal Sivan Temple),Hindu Temple,", Chennai"
13.0719852,80.1240303,Sri Devi Karumariamman Temple,Hindu Temple,"Thiruverkadu, Chennai"
13.0679152,80.1276511,Indra Lingam - Astalingam(Indrasenathipatheeswarar),Hindu Temple,", Chennai"
13.0363504,80.1118875,Vaikundavasa Perumal Temple,Hindu Temple,", Chennai"
13.038808,80.2730143,Malleswarar - Saptha Lingam,Hindu Temple,", Chennai"
13.0290291,80.1067583,Velleeswarar Temple - Mangadu,Hindu Temple,", Chennai"
13.1534886,80.2964812,Sri Kalyana Varadaraja Perumal Temple,Hindu Temple,", Chennai"
13.0716113,80.1147984,Vedhapureeswarar Temple - Thiruverkadu,Hindu Temple,", Chennai"
13.0478521,80.2745163,Theerthabaleeswarar - Sapta Lingam,Hindu Temple,", Chennai"
13.0374862,80.2759401,Vaaliswarar - Saptha Lingam,Hindu Temple,", Chennai"
13.0734651,80.2266232,Ekambaresewarar Temple Bhumi,Hindu Temple,", Chennai"
13.1329978,80.2922321,Arunachleswarar Temple - Agni Stalam,Hindu Temple,", Chennai"
12.9203395,80.1623524,Jambukeswarar Temple - Water,Hindu Temple,", Chennai"
12.9390939,80.177064,Ekambaresewarar temple,Hindu Temple,", Chennai"
13.103999,80.182878,Jambukeswarar Temple - Water (Korattur ),Hindu Temple,", Chennai"
13.0125315,80.1211467,Thirumeneeswarar Temple Kovur - Bhudhan Stalam,Hindu Temple,", Chennai"
13.0121971,80.1370181,Neelakandeswarar Temple Gerugambakkam - Kethu Stalam,Hindu Temple,", Chennai"
13.0309356,80.155619,Ramanatheeswar Temple - Guru Stalam,Hindu Temple,", Chennai"
12.9871836,80.1424097,Agatheeswarar Temple Pozhichalur - Sani Stalam,Hindu Temple,", Chennai"
13.0116268,80.1509733,Agatheeswarar Temple - Surian Stalam (Kolapakkam),Hindu Temple,", Chennai"
13.1246246,80.2156088,Somanatheswar Temple - chandran Stalam,Hindu Temple,", Chennai"
13.0357209,80.2363615,Tirupathi Balaji Temple,Hindu Temple,"Venkatanarayana Road, Chennai"
12.9648528,80.2128187,Pilayar koil,Hindu Temple,", Chennai"
13.1065738,80.1003391,pillayar temple,Hindu Temple,", Chennai"
13.2778648,80.2255098,Vinayakar Temple,Hindu Temple,"Jayarampuram To Pathur Kammarpalayam Road, Thiruvallur"
12.9621543,80.2329354,Vinayagar Temple,Hindu Temple,", Chennai"
13.090448,80.2630661,Chidambareswarar Temple - Agaya Stalam,Hindu Temple,", Chennai"
13.0240079,80.2641007,St Luke’s Church,Church,", Chennai"
13.1107077,80.2454574,Iyappan Koil,Hindu Temple,"Anandavelu Street, Chennai"
13.1004324,80.2087325,Chennai Railway Museum,Museum,"New Avadi Road, Chennai"
12.937684,80.1316106,Pilayar Kovil,Hindu Temple,", Tambaram"
13.1161506,80.2428857,Lakshmi Amman Temple,Hindu Temple,", Chennai"
13.0505545,80.2464358,Gurudwara Sahib,Place of Worship,"Gangai Karai Puram, T Nagar, Chennai, Tamil Nadu 600017, India, Chennai"
13.2613493,80.2143729,Pushparatheeswarar Temple - Surian Stalam,Hindu Temple,"Gnayuru Gramam, Chennai"
13.0931657,80.2564738,Kosapet 5 lights,Historical Monument,", Chennai"
12.9633872,80.1144526,thiruneermalai ranganathasamy temple,Hindu Temple,", Chennai"
13.0426975,80.2358745,Kannadasan,Historical Monument,", Chennai"
13.037804,80.236041,Pillaiyar Kovil,Hindu Temple,", Chennai"
13.1610733,80.2987405,Aadhipureeswarar Temple(Thiruvotteeswarar),Hindu Temple,", Chennai"
13.161428,80.2991865,Vadivudaiamman Temple,Hindu Temple,", Chennai"
13.0946586,80.2781582,Dharmaraja Dhroupathi Amman Temple,Hindu Temple,", Chennai"
12.822513,80.2435254,dhakshan chitra,Art Gallery,", Chennai"
12.9261602,80.1270383,Rajeswari Temple,Hindu Temple,", Chennai"
13.0915789,80.191621,Ganesha Temple ( முச்சந்தி விநாயகர் கோவில் ),Hindu Temple,", Chennai"
12.9260751,80.1485193,Vallal Yusuf nagar mosque,Mosque,", Chennai"
13.0060827,80.2450524,House of Prayer CSI Church,Church,", Chennai"
12.9227638,80.1338218,Victory Christian assembly Church,Church,", Chennai"
