lat,lon,name,category,address
13.0668086,80.2817017,Unnamed Apartment,Apartment Complex,", Chennai"
13.0665657,80.2818336,Unnamed Apartment,Apartment Complex,", Chennai"
13.0667378,80.2816256,Unnamed Apartment,Apartment Complex,", Chennai"
13.0664652,80.2817431,Unnamed Apartment,Apartment Complex,", Chennai"
13.0663858,80.2816727,Unnamed Apartment,Apartment Complex,", Chennai"
13.0666116,80.2815633,Unnamed Apartment,Apartment Complex,", Chennai"
13.0665328,80.2814978,Unnamed Apartment,Apartment Complex,", Chennai"
13.0663105,80.2815524,Unnamed Apartment,Apartment Complex,", Chennai"
13.0662357,80.2814855,Unnamed Apartment,Apartment Complex,", Chennai"
13.0100061,80.2598672,Zolo Lyca,Residential Apartment,", Chennai"
13.0595329,80.2472702,Unnamed Apartment,Apartment Complex,", Chennai"
13.0594582,80.2473072,VGN Notting Hill,Residential Apartment,", Chennai"
13.0596309,80.2482904,Unnamed Apartment,Apartment Complex,", Chennai"
13.0596166,80.2482701,One Crest Nungambakkam,Residential Apartment,", Chennai"
13.0063305,80.2187588,Unnamed Apartment,Apartment Complex,", Chennai"
13.0066248,80.218643,Unnamed Apartment,Apartment Complex,", Chennai"
13.0067882,80.2185717,Unnamed Apartment,Apartment Complex,", Chennai"
13.0069353,80.2185019,Unnamed Apartment,Apartment Complex,", Chennai"
13.0064829,80.2186993,Unnamed Apartment,Apartment Complex,", Chennai"
13.0070848,80.218419,Unnamed Apartment,Apartment Complex,", Chennai"
13.0072274,80.2183486,Unnamed Apartment,Apartment Complex,", Chennai"
13.0073906,80.2182767,Unnamed Apartment,Apartment Complex,", Chennai"
13.0075306,80.21821,Unnamed Apartment,Apartment Complex,", Chennai"
13.0076805,80.218141,Unnamed Apartment,Apartment Complex,", Chennai"
13.0078249,80.2180754,Unnamed Apartment,Apartment Complex,", Chennai"
13.0082526,80.2178751,Unnamed Apartment,Apartment Complex,", Chennai"
13.0080696,80.2179702,Unnamed Apartment,Apartment Complex,", Chennai"
13.0084243,80.217738,Unnamed Apartment,Apartment Complex,", Chennai"
