lat,lon,name,specialization,address
13.0897224,80.2814412,Reliable Electrical Enterprises,Electrical Components & Wiring,", Chennai"
13.08964,80.2814359,Seth Electricals,Electrical Components & Wiring,", Chennai"
13.0895358,80.2814215,Radiant Electricals,Electrical Components & Wiring,", Chennai"
13.089526,80.2815141,Amco Electricals,Electrical Components & Wiring,", Chennai"
13.0895085,80.2814178,Rajasthan Electric Stores,Electrical Components & Wiring,", Chennai"
13.0894818,80.2814138,Mercury Electricals,Electrical Components & Wiring,", Chennai"
13.0894572,80.2814104,Rakesh Enterprises,General Hardware,", Chennai"
13.0893275,80.2813946,Fomra Electricals,Electrical Components & Wiring,", Chennai"
13.0893124,80.2815229,Maharaja Electricals,Electrical Components & Wiring,", Chennai"
13.0890349,80.2813469,Hesh Electricals,Electrical Components & Wiring,", Chennai"
13.0903711,80.2813957,Sunil Electricals,Electrical Components & Wiring,", Chennai"
13.0904156,80.2814007,Ramdev Electric,Electrical Components & Wiring,", Chennai"
13.0903198,80.281391,SM Electricals,Electrical Components & Wiring,", Chennai"
13.0902258,80.2813812,Sagar Electricals,Electrical Components & Wiring,", Chennai"
13.0901795,80.2813759,R.M. Electricals,Electrical Components & Wiring,", Chennai"
13.0899494,80.2813482,Mahalaxmi Electricals,Electrical Components & Wiring,", Chennai"
13.0899841,80.2813514,Delite Electrical Supply Corporation,Electrical Components & Wiring,", Chennai"
13.0898928,80.2813382,Utham Electricals,Electrical Components & Wiring,", Chennai"
13.0898537,80.2813331,Surya Electricals,Electrical Components & Wiring,", Chennai"
13.0897371,80.2813137,Kumar Electrical Enterprise,Electrical Components & Wiring,", Chennai"
13.0896797,80.2813055,Suresh Electric Company,Electrical Components & Wiring,", Chennai"
13.0896972,80.2812007,Shine Electricals,Electrical Components & Wiring,", Chennai"
13.0896224,80.2812985,Kothari Electricals,Electrical Components & Wiring,", Chennai"
13.0895792,80.2812904,Savera Electricals,Electrical Components & Wiring,", Chennai"
13.0895587,80.2812879,Rajsri Electricals,Electrical Components & Wiring,", Chennai"
13.0894958,80.2812797,Vimal Electricals,Electrical Components & Wiring,", Chennai"
13.0895242,80.2812848,S.K. Electricals,Electrical Components & Wiring,", Chennai"
13.0894606,80.2812739,Jain Electricals,Electrical Components & Wiring,", Chennai"
13.089472,80.2812116,Mahaveer Cable Agency,Electrical Components & Wiring,", Chennai"
13.0894274,80.281266,Kothari Electrical Enterprises,Electrical Components & Wiring,", Chennai"
13.0894061,80.2812628,Surya Electricals,Electrical Components & Wiring,", Chennai"
13.0893843,80.2812582,Madras Electricals,Electrical Components & Wiring,", Chennai"
13.0893388,80.2812471,Royal Electric Co,Electrical Components & Wiring,", Chennai"
13.0892963,80.2812392,Balaji Electric Palace,Electrical Components & Wiring,", Chennai"
13.0891307,80.2812197,Vasanth Electricals,Electrical Components & Wiring,", Chennai"
