CellID,Lat,Lon,apartments,tourist_places,supermarkets,clothing_shops,RawScore,Score_0_1000,Rank
98.0,12.899740445312641,80.24228889687387,22.349989789725363,9.444201755081112,0.0,-2.7841448535202753,29.0100466912862,425.1975747453526,378
99.0,12.899740445312641,80.25127200862377,5.588723606786222,3.558347832603419,0.0,-0.545130174301698,8.601941265087943,401.34435138776445,468
100.0,12.899740445312641,80.26025512037369,0.999140796765135,0.7020265230882474,0.0,-0.0,1.7011673198533823,393.2786491180869,576
101.0,12.899740445312641,80.2692382321236,0.0,0.0,0.0,-0.0,0.0,391.2903056044847,621
102.0,12.899740445312641,80.27822134387351,0.0,0.0,0.0,-0.0,0.0,391.2903056044847,621
103.0,12.908784162642213,80.13449155587494,21.351600978873286,9.528087482023068,3.3164656327175646,-21.36505638981685,12.83109770379707,406.2874370412328,441
104.0,12.908784162642213,80.14347466762486,17.530573531584235,12.854981111153254,4.655228423797682,-22.760054956365053,12.280728110170116,405.6441588646532,444
105.0,12.908784162642213,80.15245777937477,14.342701259257309,11.353535332217408,3.72273766854509,-11.092150295897165,18.32682396412264,412.71090376007015,415
106.0,12.908784162642213,80.16144089112467,15.394434292693319,6.45534032698189,1.832562688915106,-0.8684929832142223,22.813844325376095,417.95538366900024,400
107.0,12.908784162642213,80.17042400287458,16.95244397330223,5.547489508856815,0.8257041330580831,-0.0,23.325637615217126,418.5535734274588,398
108.0,12.908784162642213,80.1794071146245,20.23195813130362,7.279601122715045,0.6406803620509157,-11.040624076944649,17.11161553912493,411.290554473248,420
109.0,12.908784162642213,80.18839022637441,21.34366659597505,10.548072260538143,0.3238107170724261,-22.075138546230995,10.140411027354624,403.14253216456177,453
110.0,12.908784162642213,80.19737333812432,21.161037713894043,11.666099832825154,0.0,-17.592045058982475,15.235092487736726,409.09725320663625,433
111.0,12.908784162642213,80.20635644987422,14.293893944378292,11.808366386808409,0.0,-6.2929456891481586,19.80931464203854,414.4436555529179,410
112.0,12.908784162642213,80.21533956162413,45.46638111713232,25.073864146453424,0.0,-2.435156098209485,68.10508916537626,470.89230048465333,245
113.0,12.908784162642213,80.22432267337405,77.37790281370441,35.25144481530349,0.0,-6.135316738748533,106.49403089025937,515.7617277196563,159
