lat,lon,name,address
13.0901378,80.217877,Yesesi Supermarket,", Chennai"
13.0848556,80.2059796,Santosh Super Stores,", Chennai"
12.8445816,80.1538802,VMART (supermarket),", Chennai"
13.0245166,80.2216038,Reliance Fresh,"Tank Square Street, Saidapet"
13.1318855,80.1693639,Reliance Smart Superstore,", Chennai"
13.0163694,80.1783903,Nilgiri's,", Chennai"
12.9289576,80.1160555,Nilgris super market,", Chennai"
12.9598348,80.2437202,JK Supermart,", Chennai"
13.0489025,80.2270598,Pazhamudhir Nilayam,"Viswanathapuram Main Road, Chennai"
12.9656363,80.205007,Himalayas supermarket,", Chennai"
13.0648853,80.2218286,Annachi Kadai,", Chennai"
12.9421901,80.1425041,Spencers Daily,"Dr.Rajendra Prasath Road, Chennai"
12.9374832,80.2054333,More,", Chennai"
13.075826,80.2246407,Muthu Super Market,"Ayyavoo Street, Chennai"
13.0476892,80.2640996,Spencer's Food World,"Avvai Shanmugam Salai, chennai"
12.9280822,80.1274145,Sastha Organic Food Store,", Chennai"
13.0663574,80.2193874,Velammal Store,", Chennai"
12.9564391,80.1428488,Nuts and Spices,"Grand Southern Trunk Road, chrompet"
13.1213937,80.1480494,Unnamed Supermarket,", Chennai"
12.9557797,80.1434105,Saravana Stores,"Grand Southern Trunk Road, Chennai"
12.9732559,80.1378215,Heritage fresh,", Chennai"
12.8039982,80.2235478,Nilgiri's,", Chennai"
12.8905758,80.1126361,R S Supermarket,", Chennai"
12.8912378,80.1166277,Lakshmi Supermarket,", Chennai"
12.9595011,80.1442823,Santhosh SuperMarket,"Grand Southern Trunk Road, chrompet"
12.9722007,80.1285056,Periyandavar stores,", Chennai"
12.9665996,80.2360934,Unnamed Supermarket,", Chennai"
13.1189585,80.1537212,Unnamed Supermarket,", Chennai"
12.9875797,80.2378174,Prime Mart,", Chennai"
13.1969158,80.1800096,Revati store,", Chennai"
12.9559278,80.2371407,DMart,", Chennai"
