objectid,x,y,lgd_state_,lgd_distri,pincode,schcd,schname,schmgt,schcat,schtype,rururb,school_cat,school_typ,stcode11,dtcode11,sdtcode11,sdtname,subdt_lgd,vilcode11,stname,dtname,vilname,management,location
93296,8931115.992,1470966.1892700195,33,568,600023,33020400907,CSI ST.JAMES CHURCH NUR.SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
93348,8931264.269714355,1471061.9669189453,33,568,600023,33020400903,CHSS PALAVAYAL ROAD,3,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Local Body,Urban
93349,8931264.269714355,1471061.9669189453,33,568,600023,33020400901,cps palavayal rd,3,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Local Body,Urban
93427,8931331.840698242,1471208.2631225586,33,568,600082,33020401420,DHANISH MATRIC. HIGHER SECONDARY SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
93440,8931243.675720215,1471233.064880371,33,568,600023,33020401004,DANISH MATRIC. HR. SEC. SCHOOL,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
93554,8931036.955322266,1471425.6513061523,33,568,600023,33020400706,RLY COLONY PRI SCH,4,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
93566,8930924.522705078,1471455.367919922,33,568,600023,33020400715,RAILWAY COLONY HS,4,7,3,2,Upper Pr. and Secondary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
93978,8930906.822875977,1472350.769897461,33,568,600082,33020400406,PERIYAR MAT HSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
93987,8931318.593688965,1472365.171508789,33,568,600082,33020400710,JRET RAGHAVA MIDDLE SCHOOL,4,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
94059,8931414.328491211,1472486.328491211,33,568,600082,33020400817,VEERA SAVARAKAR NETAJI MATRICULATION SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94063,8931010.238708496,1472493.1862792969,33,568,600082,33020400730,JNES N & P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94231,8931280.745117188,1472820.0842895508,33,568,600082,33020400807,SACRED HEARTS NURSERY AND PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94234,8930895.579711914,1472844.087524414,33,568,600082,33020400403,MODEL MAT HSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94330,8931362.564880371,1473025.7119140625,33,568,600011,33020400711,JRET GIRLS HS,4,7,2,2,Upper Pr. and Secondary,Girls,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
94338,8931414.662475586,1473052.2299194336,33,568,600011,33020400717,SRI CHAMPALAL JAIN HSS,4,5,3,2,Up. Pr. Secondary and Higher Sec,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Government Aided,Urban
94339,8931408.762512207,1473053.2584838867,33,568,600011,33020400213,CHANDABAI MAT HSS,5,3,3,2,Pr. with Up.Pr. Sec. and H.Sec.,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94340,8931386.832519531,1473053.7156982422,33,568,600011,33020400738,J.R.KAMAAKSHI NURSERY & PRIMARY SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94351,8931370.913879395,1473087.5488891602,33,568,600082,33020401421,SRI BALA MURUGAN N & P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94452,8931283.862121582,1473277.0618896484,33,568,600082,33020400401,CMS KC GARDEN,3,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Local Body,Urban
94464,8930989.979,1473295.6932983398,33,568,600082,33020401425,RAASHIDH N & P SCHOOL,5,1,3,2,Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
94661,8931422.120910645,1473598.4822998047,33,568,600082,33020400504,CMS GOPALAPURAM,3,2,3,2,Primary with Upper Primary,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Local Body,Urban
94698,8931264.937683105,1473664.6643066406,33,568,600082,33020400722,ST MOSES MAT SCHOOL,5,6,3,2,Pr. Up Pr. and Secondary Only,Co-education,33,603, ,Ayanavaram,7163,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
96205,8931331.172912598,1477398.197692871,33,589,600060,33011003701,"J.G.CARODIA GOVT HSS, MADHAVARAM",1,5,3,1,Up. Pr. Secondary and Higher Sec,Co-education,33,603,05701,Mathavaram,5701,803337,TAMIL NADU,Chennai,Madavaram (M),Department of Education,Rural
97035,8931421.118896484,1479634.028930664,33,589,600060,33011000802,OLIVE TREE GLOBAL SCHOOL,5,2,3,2,Primary with Upper Primary,Co-education,33,603,05701,Mathavaram,5701,,TAMIL NADU,Chennai, ,Pvt. Unaided (Recognized),Urban
